Team,Month Year,Cycle Time,Lead Time,Flow Efficiency,Stability,Average Throughput,Average Arrival Rate,Team Deliver L4,L3,L2
CMS Platform CD,05/24,4.8,33.8,0.14,1.1,17,15,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,06/24,10.2,21.2,0.48,0.5,12,24,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,07/24,6.0,36.6,0.16,1.0,28,29,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,08/24,8.4,24.7,0.34,0.4,18,42,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,09/24,10.1,44.2,0.23,1.4,20,14,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,10/24,6.1,38.5,0.16,0.5,17,35,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,11/24,10.0,29.9,0.33,0.8,11,13,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,12/24,8.5,71.1,0.12,2.4,19,8,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,01/25,7.0,72.1,0.10,2.0,24,12,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,02/25,18.3,76.6,0.24,2.5,28,11,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,03/25,8.8,114.6,0.08,0.4,20,45,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,04/25,8.6,69.2,0.12,1.3,29,23,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,05/25,5.4,28.6,0.19,0.6,25,43,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,06/25,4.5,22.0,0.21,1.1,35,31,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,07/25,13.2,59.1,0.22,1.4,26,18,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,08/25,5.6,99.9,0.06,1.7,30,18,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,09/25,9.6,119.6,0.08,5.0,30,6,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,10/25,12.1,131.1,0.09,2.6,13,5,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,11/25,8.1,113.4,0.07,1.1,21,19,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,12/25,19.7,122.9,0.16,1.8,11,6,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,01/26,6.3,133.5,0.05,1.1,20,19,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,02/26,13.4,52.2,0.26,0.5,18,33,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,03/26,16.8,43.1,0.39,1.9,17,9,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,04/26,10.3,63.1,0.16,1.9,33,17,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CD,05/26,10.4,56.6,0.18,20.0,20,1,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,05/24,161.0,188.9,0.85,2.4,64,27,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,06/24,12.0,26.2,0.46,1.0,28,27,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,07/24,17.5,37.9,0.46,1.2,52,44,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,08/24,16.4,35.4,0.46,1.2,15,13,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,09/24,18.2,29.2,0.62,1.3,34,26,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,10/24,11.9,20.5,0.58,0.8,20,26,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,11/24,28.1,39.1,0.72,0.7,14,21,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,12/24,16.7,25.8,0.65,1.3,10,8,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,01/25,23.5,36.6,0.64,0.9,30,34,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,02/25,24.6,53.4,0.46,0.9,27,29,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,03/25,19.4,24.4,0.80,0.4,12,28,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,04/25,29.7,40.1,0.74,0.7,43,60,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,05/25,29.7,42.2,0.70,0.6,28,50,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,06/25,26.5,46.3,0.57,2.5,28,11,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,07/25,17.8,71.2,0.25,2.1,46,22,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,08/25,12.3,63.5,0.19,0.9,46,49,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,09/25,8.8,20.6,0.43,0.6,40,64,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,10/25,29.1,35.5,0.82,2.0,72,36,Software Del Virtual Capabilities,Content,Content Management System
CMS Platform CM,11/25,33.6,38.6,0.87,1.0,31,30,Software Del Virtual Capabilities,Content,Content Management System
